"gene","pval","effect","fdr"
"ELOB","0.171107509373523","-0.00178570593341265",0.199635719164417
"ELOC","0.0110245913111921","-0.00427814392731968",0.0149194239050163
"ELOF1","2.43796768439128e-10","0.0157624203803497",6.78698294228215e-10
"ELOVL1","7.27857143993195e-08","0.0072205037696435",1.62473796078021e-07
"ELOVL5","9.37070831310745e-09","0.0153072030679023",2.26198357214607e-08
"ELP3","6.54443695739048e-08","0.00687115167177771",1.46727910424712e-07
"ELP4","0.000137707232623618","0.00390990562455545",0.000228116558363189
"ELP5","0.012091284443238","-0.00286648296458425",0.0162947572342595
"ELP6","8.81317612541163e-18","-0.0100316550072447",4.86505379854112e-17
"EMB","0.00150062921831315","-0.00743587359744596",0.00223024866509642
"EMC1","3.63642140658729e-06","-0.00603053545733434",6.96753283731531e-06
"EMC10","1.36966531643585e-07","-0.00876131272224473",2.9725629680267e-07
"EMC2","0.579607703321203","-0.000827584837811646",0.616067409809572
"EMC3","6.04554860857786e-11","0.00945340465348232",1.7822424302309e-10
"EMC4","4.88919829715985e-05","0.00597094899950834",8.49522291009556e-05
"EMC6","8.80100196819335e-10","-0.0129667417895118",2.32527698418707e-09
"EMC7","0.127250402068836","0.00186549547502712",0.151139070495425
"EMC8","4.89618948526244e-19","-0.0115675277784456",3.03438605863006e-18
"EMC9","4.51143957909203e-18","-0.0199589363596235",2.54694135492512e-17
"EMD","0.00394977098690282","0.00348336197768973",0.0056138377494095
"EMG1","0.123284238313001","0.00191127996335294",0.146787850159317
"EMID1","0.00284524936992046","0.00932996241007628",0.00410045670711122
"EMILIN1","0.0365571319409227","0.00341352600476474",0.046543400196247
"EMILIN2","1.3299220186127e-14","0.0144767728757907",5.41516106571141e-14
"EML1","3.74830628625922e-06","0.00854595737405744",7.1705764635953e-06
"EML2","2.32006347383775e-14","-0.00852139763282533",9.27929716814529e-14
"EML3","4.47043581318531e-13","-0.00630043677018005",1.58359229189497e-12
"EML4","0.0106784998933218","0.0022811933935451",0.0144642539004437
"EML5","0.766002741541645","-0.00102769775902944",0.791125608584008
"EML6","0.000452021176787349","-0.0111075000076269",0.000708951066245229
"EMP3","3.67179566952915e-17","0.0226818027457222",1.91569371698565e-16
"EMSY","0.17241603252412","-0.00134221352161529",0.201138212587375
"ENAH","3.36106238082278e-19","-0.0121098084478631",2.11406900334631e-18
"ENDOD1","3.80467340460302e-21","-0.0177926984682247",2.92869264692418e-20
"ENDOG","3.46700260260192e-09","-0.0131322225961062",8.67331912371319e-09
"ENG","2.46586228347737e-13","0.0128834266542236",9.00466802991228e-13
"ENGASE","2.08448267461455e-16","-0.0131522454107234",1.01238845573793e-15
"ENKUR","0.0104402380588192","0.0128817776303342",0.0141602389781132
"ENO2","4.92897420456626e-31","-0.0376660272370324",1.38568466116198e-29
"ENO3","5.65489624117266e-29","-0.0447129976318577",1.18973619616342e-27
"ENOPH1","3.44132614215942e-20","-0.0108845092223851",2.40992218431799e-19
"ENOSF1","4.15295440546959e-06","-0.0069848596771242",7.90414144008037e-06
"ENPEP","1.44569415140964e-05","-0.00966686328349486",2.63023589842846e-05
"ENPP1","6.96549276055228e-07","-0.0113669350969939",1.42678594054058e-06
"ENPP2","0.0180531494386109","0.00470436267610824",0.0238357604689746
"ENPP3","4.55940014145704e-09","-0.0326332553311001",1.12954334538932e-08
"ENPP4","0.000160437901732097","0.00527962163883239",0.000264101698727021
"ENPP5","0.000800123825287301","-0.0118460335236666",0.00122095673087815
"ENPP7","0.505225661938054","0.00356649638549972",0.542595913535288
"ENSA","0.311870529467197","-0.00101602754600177",0.347641910734668
"ENTPD1","4.5771586628881e-09","-0.00856290528248405",1.13336384660076e-08
"ENTPD3","0.00103119943932847","-0.0136823169601508",0.00155642753844489
"ENTPD4","0.0385828492407797","-0.00465581941054211",0.0489618022748034
"ENTPD5","3.8442768991537e-29","-0.0174298516998249",8.32268786716333e-28
"ENTPD6","0.000236396714194958","-0.0214666372534248",0.000381435989182648
"ENY2","0.0683903033550317","0.00240815707550379",0.0841453193251874
"EOGT","1.57971712812586e-26","0.0172017050825679",2.34635167315356e-25
"EP300","3.56070539257605e-08","0.00632651932220896",8.1720969244191e-08
"EPAS1","5.75083075798108e-15","0.0527051831437585",2.4052310272384e-14
"EPB41L3","4.45043353795113e-28","0.0186067163947264",8.23754864209695e-27
"EPB41L4A","0.0320692966943514","0.0066500337946484",0.041142871513031
"EPB41L4B","3.70369621532392e-15","-0.0197706045124897",1.58108052783568e-14
"EPB42","3.07794368817119e-06","0.0149681598490887",5.93852711986719e-06
"EPC1","5.82674376429929e-16","0.0103403117811284",2.72092382137404e-15
"EPC2","0.000433737947349739","0.00442361593486518",0.000681156792640077
"EPCAM","2.13346289018495e-31","-0.0298986480680993",6.46639267871995e-30
"EPDR1","0.00102085355777082","0.006229461505661",0.00154105193102244
"EPG5","0.00395075537380318","0.00334344303582618",0.00561441412022228
"EPHA1","7.96284158621684e-14","-0.0367531921552038",3.0406141946739e-13
"EPHA2","0.50731937222561","-0.00198264148997407",0.544663558912574
"EPHA4","0.0476840203305777","-0.00628509846417213",0.0598301828184053
"EPHB2","1.17751884875832e-27","-0.0407738823444576",2.02855334175967e-26
"EPHB3","6.50370572274641e-36","-0.0375089268138284",4.08532464639234e-34
"EPHB4","1.73747965503325e-06","-0.00938084215339424",3.42586199922088e-06
"EPHX1","9.9372120160249e-06","-0.00659087313789453",1.83408219492722e-05
"EPHX2","0.031794001135632","-0.00301902682792965",0.0408112780590914
"EPM2A","0.0089926882758802","0.00444939579808434",0.0122914435721198
"EPM2AIP1","4.06600332660688e-11","-0.0066225757541542",1.2149157814159e-10
"EPN1","5.22256330350301e-21","-0.0151934313026857",3.97283462593535e-20
"EPN2","8.6778959980584e-08","-0.00588551610142063",1.92205785076886e-07
